X,Y,veg2010,TRI,snowcov,HFI2012
331994.1485,6002465,198.63393,13.44495,0.4375,128
335994.1485,6002465,207.31328,11.40988,1.0625,127.99511
339994.1485,6002465,202.42469,10.51381,3.3125,127.0826
343994.1485,6002465,194.4236,15.6743,2.35938,126.36638
347994.1485,6002465,191.30776,16.20818,3.53125,125.6757
351994.1485,6002465,196.22702,15.49278,1.03125,126.74158
355994.1485,6002465,202.2611,13.32384,2.26563,124.75074
359994.1485,6002465,189.39565,6.65879,2.15625,127.32865
363994.1485,6002465,153.08439,5.14637,1.32813,119.43863
367994.1485,6002465,188.92143,8.99903,1.32813,126.72752
371994.1485,6002465,196.3538,10.10962,0.53125,127.03397
375994.1485,6002465,187.26522,11.85712,0.09375,128
379994.1485,6002465,187.97182,10.32159,0.1875,109.98835
383994.1485,6002465,162.97321,8.35482,0.625,112.28599
387994.1485,6002465,172.26825,10.41809,0.57813,109.22255
391994.1485,6002465,192.11374,12.66388,0.03125,123.23055
395994.1485,6002465,198.7861,12.23491,0.10938,110.99472
399994.1485,6002465,160.08812,11.02361,0.20313,95.0929
403994.1485,6002465,201.1611,10.77674,0.76563,103.00361
407994.1485,6002465,201.31266,5.26734,1.0625,109.09155
411994.1485,6002465,191.10714,7.91199,1,106.6769
415994.1485,6002465,135.81894,7.27959,0.84375,83.83183
419994.1485,6002465,140.34969,5.80345,2.01563,79.92997
423994.1485,6002465,141.58315,2.7811,2.73438,82.82034
427994.1485,6002465,154.54829,2.57574,1.67188,85.63879
431994.1485,6002465,159.80163,3.27577,1.57813,114.1729
435994.1485,6002465,203.53773,2.21196,1.15625,125.20423
439994.1485,6002465,207.17679,3.61277,1.03125,126.82244
443994.1485,6002465,198.9354,3.03161,1.28125,127.36496
303994.1485,5998465,194.2547,0,9.375,128
307994.1485,5998465,199.33758,19.69346,6.79688,128
311994.1485,5998465,201.59915,11.08915,4.8125,128
315994.1485,5998465,204.77739,11.25082,2.20313,128
319994.1485,5998465,208.19699,9.63863,4.23438,128
323994.1485,5998465,186.18642,13.8961,5.39063,128
327994.1485,5998465,190.77894,16.52447,2.17188,128
331994.1485,5998465,202.03966,13.75975,1.28125,128
335994.1485,5998465,203.42793,12.11043,2.75,128
339994.1485,5998465,202.84846,19.0515,1.6875,128
343994.1485,5998465,193.81752,19.56506,0.60938,128
347994.1485,5998465,188.85424,16.9146,0.70313,127.73785
351994.1485,5998465,195.20679,16.16969,0.79688,127.09608
355994.1485,5998465,194.28619,14.16127,3.4375,123.88653
359994.1485,5998465,193.28673,8.36471,3.34375,124.32533
363994.1485,5998465,157.02731,6.77333,2.375,98.34841
367994.1485,5998465,162.50424,10.54187,2.375,117.41906
371994.1485,5998465,201.61767,12.72999,0.98438,128
375994.1485,5998465,198.6713,8.08383,1.17188,126.79711
379994.1485,5998465,179.94406,7.28174,0.98438,124.67508
383994.1485,5998465,186.44668,11.72344,0,124.74348
387994.1485,5998465,176.87658,12.05222,0,105.69643
